key,name,level,store,parentStoreTag,url,Tags
chocolate-sweets-snacks/sweets/marshmallows,Marshmallows,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/sweets/marshmallows,
breakfast-foods/honey,Honey,2,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/honey,
health-wellness/first-aid/antiseptic,Antiseptic,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/first-aid/antiseptic,
chocolate-sweets-snacks/corn-chips/corn-tapas,Corn Tapas,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/corn-chips/corn-tapas,
clothing-manchester/towels-sheets-manchester,"Towels, Sheets & Manchester",2,,,https://shop.countdown.co.nz/Shop/Browse/clothing-manchester/towels-sheets-manchester,
deli-chilled-foods/continental-meats/pastrami,Pastrami,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/continental-meats/pastrami,
health-wellness/sports-weight-management/hfd,Hfd,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/sports-weight-management/hfd,
pet-care/dry-cat-food/whiskas-senior,Whiskas Senior,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/dry-cat-food/whiskas-senior,
baking-cooking/dessert-mixes/instant-dessert,Instant Dessert,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/dessert-mixes/instant-dessert,
chocolate-sweets-snacks/chocolate-blocks,Chocolate Blocks,2,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/chocolate-blocks,
deli-chilled-foods/chilled-pizzas/pepperoni-pizza,Pepperoni Pizza,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/chilled-pizzas/pepperoni-pizza,
bakery/cakes-muffins-biscuits-slices/cake,Cake,3,,,https://shop.countdown.co.nz/Shop/Browse/bakery/cakes-muffins-biscuits-slices/cake,
clothing-manchester/pantyhose-tights/pantyhose-petite-medium,Pantyhose Petite - Medium,3,,,https://shop.countdown.co.nz/Shop/Browse/clothing-manchester/pantyhose-tights/pantyhose-petite-medium,
deli-chilled-foods/cold-cuts/turkey,Turkey,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/cold-cuts/turkey,
deli-chilled-foods/continental-meats/biersticks,Biersticks,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/continental-meats/biersticks,
baking-cooking/cake-bake-mixes/cupcake-mix,Cupcake Mix,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/cake-bake-mixes/cupcake-mix,
baking-cooking/baking-additives/psyllium-husk,Psyllium Husk,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/baking-additives/psyllium-husk,
baking-cooking/tin-foil-oven-trays-oven-bags/oven-bags,Oven Bags,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/tin-foil-oven-trays-oven-bags/oven-bags,
pet-care/pet-accessories/pond-water-treatment,Pond Water Treatment,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/pet-accessories/pond-water-treatment,
health-wellness/sports-weight-management/zeagold,Zeagold,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/sports-weight-management/zeagold,
liquor-beer-cider/beer/speights,Speights,3,,,https://shop.countdown.co.nz/Shop/Browse/liquor-beer-cider/beer/speights,
home-kitchenware/crockery-tableware-glasses/travel-mug,Travel Mug,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/crockery-tableware-glasses/travel-mug,
baby-care/baby-toiletries/baby-powder,Baby Powder,3,,,https://shop.countdown.co.nz/Shop/Browse/baby-care/baby-toiletries/baby-powder,
personal-care/hand-nail-foot-care/foot-deodorant,Foot Deodorant,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/hand-nail-foot-care/foot-deodorant,
pet-care/pet-accessories/cuttle-fish-bone,Cuttle Fish Bone,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/pet-accessories/cuttle-fish-bone,
frozen-foods/icecream-iceblocks/ice,Ice,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/icecream-iceblocks/ice,
chocolate-sweets-snacks/chocolate-blocks/guylian,Guylian,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/chocolate-blocks/guylian,
home-kitchenware/plastic-picnicware-home-storage/kitchen-tidy,Kitchen Tidy,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/plastic-picnicware-home-storage/kitchen-tidy,
chocolate-sweets-snacks/other-snack-foods/onion-rings,Onion Rings,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/other-snack-foods/onion-rings,
breakfast-foods/honey/clover-honey,Clover Honey,3,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/honey/clover-honey,
chocolate-sweets-snacks/sweets/lollipops,Lollipops,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/sweets/lollipops,
frozen-foods/fries-vegetables/corn,Corn,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/fries-vegetables/corn,
personal-care/reading-glasses/glasses-case,Glasses Case,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/reading-glasses/glasses-case,
health-wellness/medicine/foot-file,Foot File,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/medicine/foot-file,
frozen-foods/poultry/chicken-portions,Chicken Portions,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/poultry/chicken-portions,
pet-care/canned-pouched-dog-food/applaws,Applaws,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/canned-pouched-dog-food/applaws,
cleaning-homecare/cleaning-equipment/mop,Mop,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/cleaning-equipment/mop,
cleaning-homecare/cleaning-products/toilet-block,Toilet Block,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/cleaning-products/toilet-block,
chocolate-sweets-snacks/other-snack-foods/corn-snacks,Corn Snacks,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/other-snack-foods/corn-snacks,
meal-ingredients/side-dishes/continental,Continental,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/side-dishes/continental,
breakfast-foods/eggs/eggs-20pk,Eggs 20pk,3,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/eggs/eggs-20pk,
office-entertainment/writing-equipment/chalk,Chalk,3,,,https://shop.countdown.co.nz/Shop/Browse/office-entertainment/writing-equipment/chalk,
frozen-foods/fries-vegetables/kumara-chips,Kumara Chips,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/fries-vegetables/kumara-chips,
baking-cooking/dessert-mixes,Dessert Mixes,2,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/dessert-mixes,
cleaning-homecare/insecticide-pest-control/crawling-insect-spray,Crawling Insect Spray,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/insecticide-pest-control/crawling-insect-spray,
home-kitchenware/kitchen-baking-accessories/baking-cups,Baking Cups,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/kitchen-baking-accessories/baking-cups,
personal-care/body-care/dermexa,Dermexa,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/body-care/dermexa,
meal-ingredients/sauces/soy-sauce,Soy Sauce,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/sauces/soy-sauce,
toys-party-needs/games-puzzles/puzzles,Puzzles,3,,,https://shop.countdown.co.nz/Shop/Browse/toys-party-needs/games-puzzles/puzzles,
frozen-foods/seafood/scallops,Scallops,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/seafood/scallops,
